id,date,season,gender,event_name,match_type,match_type_number,match_number,city,venue,team1,team2,referee,reserve_umpire,tv_umpire,umpire1,umpire2,team1players,team2players,toss_winner,toss_decision,winner,result,eliminator,wonBy,margin,method,player_of_match
64814,29-12-2002,2002/03,male,India tour of New Zealand,ODI,1927,2,Napier,"McLean Park, Napier",New Zealand,India,['RS Madugalle'],,['BF Bowden'],EAR de Silva,DB Cowie,"['SP Fleming', 'NJ Astle', 'MS Sinclair', 'CD McMillan', 'L Vincent', 'JDP Oram', 'BB McCullum', 'KD Mills', 'DL Vettori', 'DR Tuffey', 'PA Hitchcock']","['SC Ganguly', 'V Sehwag', 'VVS Laxman', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'SB Bangar', 'Harbhajan Singh', 'Z Khan', 'J Srinath', 'A Nehra']",India,field,New Zealand,,,runs,35,,['V Sehwag']
64815,01-01-2003,2002/03,male,India tour of New Zealand,ODI,1928,3,Christchurch,"Jade Stadium, Christchurch",India,New Zealand,['RS Madugalle'],,['AL Hill'],EAR de Silva,DB Cowie,"['V Sehwag', 'SC Ganguly', 'VVS Laxman', 'R Dravid', 'M Kaif', 'Yuvraj Singh', 'SB Bangar', 'AB Agarkar', 'Z Khan', 'Harbhajan Singh', 'J Srinath']","['SP Fleming', 'NJ Astle', 'MS Sinclair', 'CD McMillan', 'L Vincent', 'BB McCullum', 'JDP Oram', 'KD Mills', 'DL Vettori', 'DR Tuffey', 'PA Hitchcock']",India,bat,New Zealand,,,wickets,5,,['DR Tuffey']
64816,04-01-2003,2002/03,male,India tour of New Zealand,ODI,1929,4,Queenstown,"Davies Park, Queenstown",India,New Zealand,['RS Madugalle'],,['AL Hill'],EAR de Silva,DB Cowie,"['V Sehwag', 'R Dravid', 'D Mongia', 'M Kaif', 'SC Ganguly', 'Yuvraj Singh', 'PA Patel', 'AB Agarkar', 'Z Khan', 'J Srinath', 'A Nehra']","['SP Fleming', 'NJ Astle', 'MS Sinclair', 'CD McMillan', 'SB Styris', 'JDP Oram', 'BB McCullum', 'AR Adams', 'KD Mills', 'DL Vettori', 'DR Tuffey']",New Zealand,field,New Zealand,,,wickets,7,,['AR Adams']
64817,08-01-2003,2002/03,male,India tour of New Zealand,ODI,1930,5,Wellington,"Westpac Stadium, Wellington",New Zealand,India,['RS Madugalle'],,['DB Cowie'],BF Bowden,DJ Harper,"['SP Fleming', 'NJ Astle', 'MS Sinclair', 'CZ Harris', 'CL Cairns', 'SB Styris', 'BB McCullum', 'AR Adams', 'DL Vettori', 'DR Tuffey', 'SE Bond']","['SC Ganguly', 'V Sehwag', 'D Mongia', 'SR Tendulkar', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'A Kumble', 'Z Khan', 'J Srinath', 'A Nehra']",New Zealand,bat,India,,,wickets,2,,['Z Khan']
65634,09-01-2003,2002/03,male,VB Series,ODI,1931,6,Sydney,Sydney Cricket Ground,Sri Lanka,Australia,['CH Lloyd'],,['DB Hair'],RB Tiffin,SJA Taufel,"['MS Atapattu', 'ST Jayasuriya', 'PA de Silva', 'DPMD Jayawardene', 'RP Arnold', 'KC Sangakkara', 'WPUJC Vaas', 'HP Tillakaratne', 'CRD Fernando', 'M Muralitharan', 'PW Gunaratne']","['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'MG Bevan', 'A Symonds', 'B Lee', 'JP Maher', 'SR Watson', 'GB Hogg', 'AJ Bichel']",Australia,field,Sri Lanka,,,runs,79,,['ST Jayasuriya']
65635,11-01-2003,2002/03,male,VB Series,ODI,1932,7,Hobart,"Bellerive Oval, Hobart",Australia,England,['CH Lloyd'],,['SJ Davis'],DB Hair,DL Orchard,"['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'MG Bevan', 'JP Maher', 'SR Watson', 'GB Hogg', 'AJ Bichel', 'B Lee', 'GD McGrath']","['ME Trescothick', 'NV Knight', 'ID Blackwell', 'N Hussain', 'OA Shah', 'PD Collingwood', 'AJ Stewart', 'RC Irani', 'AR Caddick', 'JM Anderson', 'SJ Harmison']",Australia,bat,Australia,,,runs,7,,['DR Martyn']
65636,13-01-2003,2002/03,male,VB Series,ODI,1934,8,Sydney,Sydney Cricket Ground,Sri Lanka,England,['CH Lloyd'],,['SJA Taufel'],DB Hair,RB Tiffin,"['MS Atapattu', 'ST Jayasuriya', 'HP Tillakaratne', 'PA de Silva', 'KC Sangakkara', 'DPMD Jayawardene', 'RP Arnold', 'WPUJC Vaas', 'M Muralitharan', 'TCB Fernando', 'CRD Fernando']","['ME Trescothick', 'NV Knight', 'N Hussain', 'OA Shah', 'PD Collingwood', 'AJ Stewart', 'ID Blackwell', 'RC Irani', 'AR Caddick', 'JM Anderson', 'SJ Harmison']",Sri Lanka,bat,Sri Lanka,,,runs,31,,['ST Jayasuriya']
64819,14-01-2003,2002/03,male,India tour of New Zealand,ODI,1935,7,Hamilton,"Westpac Park, Hamilton",India,New Zealand,['RS Madugalle'],,['BF Bowden'],DJ Harper,DB Cowie,"['SC Ganguly', 'V Sehwag', 'SR Tendulkar', 'D Mongia', 'R Dravid', 'Yuvraj Singh', 'M Kaif', 'A Kumble', 'Z Khan', 'J Srinath', 'A Nehra']","['SP Fleming', 'MS Sinclair', 'BB McCullum', 'CL Cairns', 'SB Styris', 'L Vincent', 'CZ Harris', 'KD Mills', 'AR Adams', 'DL Vettori', 'DR Tuffey']",New Zealand,field,New Zealand,,,wickets,6,,['SP Fleming']
65637,15-01-2003,2002/03,male,VB Series,ODI,1936,9,Brisbane,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,Australia,['CH Lloyd'],,['DB Hair'],DL Orchard,SJA Taufel,"['MS Atapattu', 'ST Jayasuriya', 'HP Tillakaratne', 'PA de Silva', 'DPMD Jayawardene', 'KC Sangakkara', 'RP Arnold', 'WPUJC Vaas', 'TCB Fernando', 'M Muralitharan', 'CRD Fernando']","['JP Maher', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'DS Lehmann', 'MG Bevan', 'SR Watson', 'GB Hogg', 'B Lee', 'BA Williams', 'GD McGrath']",Sri Lanka,bat,Australia,,,wickets,4,,['MG Bevan']
65638,17-01-2003,2002/03,male,VB Series,ODI,1937,10,Adelaide,Adelaide Oval,England,Sri Lanka,['CH Lloyd'],,['SJ Davis'],DJ Harper,RB Tiffin,"['ME Trescothick', 'NV Knight', 'MP Vaughan', 'N Hussain', 'AJ Stewart', 'ID Blackwell', 'PD Collingwood', 'RC Irani', 'AR Caddick', 'JM Anderson', 'SJ Harmison']","['MS Atapattu', 'ST Jayasuriya', 'HP Tillakaratne', 'PA de Silva', 'DPMD Jayawardene', 'KC Sangakkara', 'RP Arnold', 'WPUJC Vaas', 'MKGCP Lakshitha', 'TCB Fernando', 'CRD Fernando']",England,bat,England,,,runs,19,,['AR Caddick']
65639,19-01-2003,2002/03,male,VB Series,ODI,1938,11,Adelaide,Adelaide Oval,England,Australia,['CH Lloyd'],,['SJ Davis'],DJ Harper,DL Orchard,"['ME Trescothick', 'NV Knight', 'MP Vaughan', 'N Hussain', 'AJ Stewart', 'PD Collingwood', 'ID Blackwell', 'RC Irani', 'AR Caddick', 'JM Anderson', 'MJ Hoggard']","['AC Gilchrist', 'JP Maher', 'DR Martyn', 'MG Bevan', 'B Lee', 'MJ Clarke', 'A Symonds', 'SR Watson', 'GB Hogg', 'BA Williams', 'NW Bracken']",England,bat,Australia,,,wickets,4,,['NW Bracken']
65640,21-01-2003,2002/03,male,VB Series,ODI,1939,12,Melbourne,Melbourne Cricket Ground,Sri Lanka,Australia,['CH Lloyd'],,['SJA Taufel'],DJ Harper,RB Tiffin,"['MS Atapattu', 'DA Gunawardene', 'KC Sangakkara', 'PA de Silva', 'DPMD Jayawardene', 'RP Arnold', 'WPUJC Vaas', 'J Mubarak', 'HP Tillakaratne', 'MKGCP Lakshitha', 'RAP Nissanka']","['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'JP Maher', 'MG Bevan', 'A Symonds', 'SR Watson', 'GB Hogg', 'AJ Bichel', 'BA Williams', 'NW Bracken']",Sri Lanka,bat,Australia,,,wickets,9,,['RT Ponting']
65641,23-01-2003,2002/03,male,VB Series,ODI,1940,Final,Sydney,Sydney Cricket Ground,England,Australia,['CH Lloyd'],,['DB Hair'],DL Orchard,SJA Taufel,"['ME Trescothick', 'NV Knight', 'MP Vaughan', 'N Hussain', 'AJ Stewart', 'PD Collingwood', 'ID Blackwell', 'RC Irani', 'AR Caddick', 'JM Anderson', 'MJ Hoggard']","['AC Gilchrist', 'ML Hayden', 'RT Ponting', 'DR Martyn', 'MG Bevan', 'A Symonds', 'B Lee', 'GB Hogg', 'AJ Bichel', 'BA Williams', 'SK Warne']",England,bat,Australia,,,wickets,10,,['B Lee']
